lat,lon,date
38.7118594,-9.1373493,05/17/2014 02:09
38.7118657,-9.137368,05/17/2014 02:24
38.7117906,-9.1372713,05/17/2014 02:54
38.7118342,-9.1373073,05/17/2014 03:24
38.7118746,-9.1373033,05/17/2014 03:54
38.7118216,-9.1372386,05/17/2014 04:24
38.7118547,-9.1373673,05/17/2014 04:54
38.7118518,-9.1372974,05/17/2014 05:24
38.7117759,-9.1372729,05/17/2014 05:54
38.7118216,-9.1372482,05/17/2014 06:24
38.7118034,-9.1372351,05/17/2014 06:54
38.7118169,-9.1372548,05/17/2014 07:24
38.7117997,-9.1372612,05/17/2014 07:54
38.7123248,-9.137434,05/17/2014 08:09
38.7118349,-9.1372568,05/17/2014 08:24
38.7117946,-9.1373179,05/17/2014 08:54
38.7120571,-9.1411578,05/17/2014 09:09
38.7420176,-9.1693804,05/17/2014 09:24
38.7417655,-9.1656939,05/17/2014 09:39
38.741758,-9.1657132,05/17/2014 09:54
38.7417875,-9.1656878,05/17/2014 10:09
39.1183833,-8.9137378,05/17/2014 11:12
39.2728757,-8.7121869,05/17/2014 11:27
39.476522,-8.6343453,05/17/2014 11:42
39.6307531,-8.6811772,05/17/2014 11:58
39.6287723,-8.695136,05/17/2014 12:12
39.8410858,-8.718608,05/17/2014 12:28
40.0204289,-8.5944898,05/17/2014 12:43
40.2108693,-8.4813831,05/17/2014 12:58
40.6091112,-8.5448192,05/17/2014 13:28
40.8665418,-8.5589924,05/17/2014 13:42
41.0621474,-8.5758203,05/17/2014 13:58
41.1452665,-8.610441,05/17/2014 15:13
41.1452814,-8.610412,05/17/2014 15:28
41.1452681,-8.6103972,05/17/2014 15:42
41.1490255,-8.6101426,05/17/2014 15:58
41.1435023,-8.6101014,05/17/2014 16:12
41.1384074,-8.6091067,05/17/2014 16:28
41.1365312,-8.6112967,05/17/2014 16:42
41.137714,-8.6133715,05/17/2014 17:27
41.138666,-8.6156996,05/17/2014 17:42
41.1383155,-8.6138142,05/17/2014 18:43
41.1385952,-8.6152999,05/17/2014 18:58
41.1407855,-8.6105422,05/17/2014 19:12
41.144111,-8.6103824,05/17/2014 19:27
41.1452207,-8.6103923,05/17/2014 19:43
41.1452693,-8.6103998,05/17/2014 19:58
41.1452665,-8.610441,05/17/2014 20:13
41.1453039,-8.6104046,05/17/2014 20:28
41.1452847,-8.6104046,05/17/2014 20:43
41.1451244,-8.6103765,05/17/2014 20:57
41.1451871,-8.6103879,05/17/2014 21:12
41.1452062,-8.6103928,05/17/2014 21:42
41.1453191,-8.6104181,05/17/2014 22:12
41.1451443,-8.6103827,05/17/2014 22:42
41.1452832,-8.610411,05/17/2014 22:58
41.1451994,-8.6104004,05/17/2014 23:12
41.1451577,-8.610407,05/17/2014 23:43
41.1452767,-8.6104193,05/17/2014 23:58
41.1452553,-8.6103687,05/18/2014 00:28
41.1451892,-8.6103647,05/18/2014 00:58
41.1452398,-8.6103903,05/18/2014 01:28
41.1451999,-8.6103701,05/18/2014 01:58
41.1452398,-8.6103903,05/18/2014 02:12
41.1452899,-8.6104237,05/18/2014 02:27
41.1452019,-8.6104037,05/18/2014 03:28
41.1452902,-8.6104127,05/18/2014 03:58
41.1451028,-8.6103863,05/18/2014 05:12
41.1452779,-8.6103951,05/18/2014 05:42
41.1451252,-8.6103913,05/18/2014 06:13
41.145233,-8.6103589,05/18/2014 06:43
41.1459052,-8.6107664,05/18/2014 06:58
41.1453112,-8.6104084,05/18/2014 07:12
41.1453312,-8.6105021,05/18/2014 07:27
41.1452405,-8.6104902,05/18/2014 07:42
41.1452839,-8.6104007,05/18/2014 07:57
41.1452259,-8.6104118,05/18/2014 08:13
41.1452014,-8.6104695,05/18/2014 08:43
41.1451101,-8.6103534,05/18/2014 09:12
41.1451213,-8.6103766,05/18/2014 09:42
41.1452763,-8.6104014,05/18/2014 09:57
